CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
4332,Schrijnwerk,Joinery installation
43320,Schrijnwerk,Joinery works
4332001,"Montage van buiten- en binnenschrijnwerk van hout of van kunststof : deuren, vensters, kozijnen, trappen, muurkasten, inbouwkeukens, winkelinrichtingen, enz.","Assembly of exterior and interior joinery: doors, windows, staircases, fitted kitchen cupboards  shop fittings, door and window frames, etc."
4332002,"Installatie van al dan niet verplaatsbare tussenwanden, bekleding van wanden, plafonds, enz. in hout of kunststof","Assembly of wooden or plastic mobile walls; lining walls, ceilings etc."
4332003,"Installatie van garagepoorten, luiken, zonneblinden, traliewerk, hekken, enz., in hout of kunststof","Assembly of wooden or plastic garage doors, shutters, blinds, fences, gates etc."
4332004,Installatie van geblindeerde deuren en brandwerende deuren in hout of kunststof,Assembly of wooden or plastic armoured doors and firewall doors
4332005,"Montage van serres, veranda's, enz., in hout of kunststof","Assembly of wooden or plastic greenhouses, verandas etc."
4332011,"Montage van buiten- en binnenschrijnwerk in metaal : deuren, vensters, kozijnen, trappen, muurkasten, inbouwkeukens, winkelinrichtingen, enz.","Assembly of external and internal metal joinery: doors, windows, door and window frames, staircases, fitted kitchen cupboards, shop fittings, etc."
4332012,"Installatie van al dan niet verplaatsbare tussenwanden, de bekleding van wanden, plafonds, enz., in metaal","Assembly of metal mobile walls; lining walls, ceilings, etc."
4332013,"Installatie van garagepoorten, luiken, zonneblinden, traliewerk, hekken, enz., in metaal","Assembly of metal garage doors, shutters, blinds, fences, gates, etc."
4332014,Installatie van geblindeerde deuren en brandwerende deuren in metaal,Assembly of metal armoured doors and fire doors
4332015,"Montage van serres, veranda's enz. in metaal","Assembly of metal greenhouses, verandas, etc."
4332016,Montage van buiten- en binnenschrijnwerk van kunststof,Assembly of exterior and interior plastic joinery
4332021,"Installatie van binnendeuren, scheidingswanden enz.van glas","Installation of glass interior doors, partition walls, etc."
4332031,Plaatsen van tussenwanden van gipsplaten,Assembly of gypsum drywalls
4333,Vloerafwerking en behangen,Floor and wall covering
43331,Plaatsen van vloer- en wandtegels,Tiling of floors and walls
4333101,"Aanbrengen in gebouwen en andere bouww. van : vloer-of wandtegels van keramische stoffen, beton of gehouwen steen, vloerbedekking en wandbekleding van terrazzo marmer, graniet of lei, enz.","Fitting in buildings or other construction projects of: wall coverings or ceramic, concrete or stone tiles; granite flooring and wall coverings, etc."
43332,Plaatsen van vloerbedekking en wandbekleding van hout,Fitting of wood coverings for floors and walls
4333201,"Plaatsen in gebouwen en andere bouwwerken van: parket en andere houten vloerbedekking, wandbekleding van hout","Fitting in buildings or other construction projects of: parquet and other wood floors, wooden wall coverings"
43333,Plaatsen van behang en vloerbedekking en wandbekleding van andere materialen,Wallpapering and wall and floor coverings in other materials
4333301,Plaatsen van behang,Wallpapering
4334,Schilderen en glaszetten,Painting and glazing
43341,Schilderen van gebouwen,Painting of buildings
4334101,Schilderen van het binnen- en buitenwerk van gebouwen,Interior and exterior painting of buildings
43342,Schilderen van civieltechnische werken,Painting of civil engineering works
4334201,Schilderen van metalen constructies,Painting of metal frames
4334202,Schilderen van schepen en boten door niet-gespecialiseerde eenheden,Painting of ships and boats by non-specialised units
43343,Glaszetten,Glaziery
4334301,"Aanbrengen van glas, spiegels, enz.","Fitting of glass, mirrors, etc."
4339,Overige werkzaamheden in verband met de afwerking van gebouwen,Other building completion and finishing
43390,Overige werkzaamheden in verband met de afwerking van gebouwen,Other finishing work
4339001,Reinigen van nieuwe gebouwen na beëindiging van de bouwwerkzaamheden,Cleaning of new buildings and rehabilitation of sites after work
4339002,"Overige werkzaamheden in verband met de afwerking van gebouwen, n.e.g",Other building completion and finishing work n.e.s.
439,Overige gespecialiseerde bouwactiviteiten,Other specialised construction activities
4391,Dakwerkzaamheden,Roofing activities
43910,Dakwerkzaamheden,Roofing works
4391001,Bouw van daken,Framework assembly
4391002,Plaatsen van dakbedekking van ongeacht welk materiaal,Covering work using all materials
4391003,Plaatsen van dakgoten en regenafvoerbuizen,Installation of draining elements for rainwater
4399,"Overige gespecialiseerde bouwactiviteiten, n.e.g.",Other specialised construction activities n.e.c.
43991,Waterdichtingswerken van muren,Waterproofing of walls
4399101,Waterdicht maken van daken en dakterrassen,Waterproofing of roofs and roof terraces
4399111,Behandelen van muren met vochtwerende en waterafstotende producten,Treatment of walls with water repellent products
43992,Gevelreiniging,Restoration of façades
4399201,"Gevelreiniging door middel van zandstralen, met behulp van stoom, enz.","Steam cleaning, sand blasting and similar activities for building exteriors"
43993,Bouw van sierschouwen en open haarden,Construction of decorative fireplaces and open fireplaces
4399301,"Bouwen van open haarden, stookplaatsen, sierschouwen, enz.",Construction of decorative fireplaces and open fireplaces
43994,Uitvoeren van metsel- en voegwerken,Masonry and repointing
4399401,Uitvoeren van metselwerk,Masonry
4399402,Uitvoeren van voegwerken,Execution of repointing
43995,Restaureren van bouwwerken,Building restoration works
43996,Chapewerken,Screed laying
4399601,Chapewerken,Screed laying
43999,Overige gespecialiseerde bouwwerkzaamheden,Other specialised construction activities
4399901,"Bouwen van funderingen, inclusief heien","Establishment of foundations, including pile driving"
4399902,Vlechten van ijzer en aanbrengen van bekisting,Formwork and rebar work
4399903,Bouwen van schoorstenen en industriële ovens,Construction of chimneys and industrial ovens
4399904,Monteren van niet-zelfvervaardigde metalen constructiewerken,Installation of steel structure elements not manufactured by the unit carrying out the work
4399905,Uitvoeren van hijs- en hefwerkzaamheden voor rekening van derden,Execution of lifting work for third parties
4399906,Optrekken en afbreken van steigers en werkplatforms,Assembly and disassembly of scaffolding and work platforms
4399907,"Bouwen van koelkamers, kluizen, enz.","Construction of cold rooms, vaults, etc."
4399911,Verhuur van machines voor de bouwnijverheid met bedieningspersoneel,Rental of construction equipment with operator
4399921,Uitvoeren van diverse werkzaamheden onder water,Execution of underwater work of all kinds
4399931,Installatie van particuliere zwembaden,Installation of private swimming pools
45,Groot- en detailhandel in en onderhoud en reparatie van motorvoertuigen en motorfietsen,Wholesale and retail trade and repair of motor vehicles and motorcycles
451,Handel in auto's,Sale of motor vehicles
4511,"Handel in auto's en lichte bestelwagens (= 3,5 ton)","Sale of cars and light motor vehicles (= 3,5 tons)"
45111,"Groothandel in auto's en lichte bestelwagens (= 3,5 ton)",Wholesale trade of cars and other light motor vehicles (= 3.5 tons)
4511101,"Groothandel in nieuwe en gebruikte auto's voor personenvervoer, inclusief die voor bijzondere doeleinden (b.v. ambulances)","Wholesale trade of motor vehicles for the transport of persons, including special motor vehicles (e.g. ambulances), new or used"
45112,"Handelsbemiddeling in auto's en lichte bestelwagens (= 3,5 ton)",Commission trade of cars and other light motor vehicles (= 3.5 tons)
4511201,"Handelsbemiddeling in nieuwe en gebruikte auto's voor personenvervoer, inclusief die voor bijzondere doeleinden (b.v. ambulances)","Commission trade of motor vehicles for the transport of persons, including special motor vehicles (e.g. ambulances), new or used"
45113,"Detailhandel in auto's en lichte bestelwagens (= 3,5 ton)",Retail trade of cars and other light motor vehicles (= 3.5 tons)
4511301,"Kleinhandel in nieuwe en gebruikte auto's voor personenvervoer, inclusief die voor bijzondere doeleinden (b.v. ambulances)","Retail trade of motor vehicles for the transport of persons, including special motor vehicles (e.g. ambulances), new or used"
4519,Handel in andere motorvoertuigen,Sale of other motor vehicles
45191,"Groothandel in andere motorvoertuigen (> 3,5 ton)",Wholesale trade of other motor vehicles (> 3.5 tons)
4519101,"Groothandel in nieuwe en gebruikte vrachtwagens, trekkers bestelwagens, terreinwagens (b.v. jeeps) enz.","Wholesale trade of trucks, road tractors, vans, all-terrain motor vehicles (e.g. jeeps), etc., new or used"
4519102,"Groothandel in nieuwe en gebruikte autobussen, touringcars minibusjes, motorhomes, enz.","Wholesale trade of buses, coaches, minibuses, motor homes, etc., new or used"
45192,"Handelsbemiddeling in andere motorvoertuigen (> 3,5 ton)",Commission trade of other motor vehicles (> 3.5 tons)
4519201,"Handelsbemiddeling in nieuwe en gebruikte vrachtwagens, trekkers, bestelwagens, terreinwagens (b.v. jeeps), enz.","Commission trade of trucks, tractors, vans, all-terrain motor vehicles (e.g. jeeps), etc., new or used"
4519202,"Handelsbemiddeling in nieuwe en gebruikte autobussen, touringcars, minibusjes, motorhomes, enz.","Commission trade of buses, coaches, minibuses, motorhomes, etc., new or used"
45193,"Detailhandel in andere motorvoertuigen (> 3,5 ton)",Retail trade of other cars and light motor vehicles (= 3.5 tons)
4519301,"Kleinhandel in nieuwe en gebruikte vrachtwagens, trekkers, bestelwagens, terreinwagens (b.v. jeeps) enz.","Retail trade of trucks, road tractors, vans, all-terrain motor vehicles (e.g. jeeps), etc., new or used"
4519302,"Kleinhandel in nieuwe en gebruikte autobussen, touringcars, minibusjes, motorhomes, enz.","Retail trade of buses, coaches, minibuses, motorhomes, etc., new or used"
45194,"Handel in aanhangwagens, opleggers en caravans","Trade of trailers, semi-trailers and caravans"
4519401,Handel in nieuwe en gebruikte aanhangwagens en opleggers,Trade of new or used trailers and semi-trailers
4519402,"Handel in nieuwe en gebruikte kampeervoertuigen zoals caravans, kampeerwagens, enz.","Trade of new or used camping vehicles such as caravans, motor homes, etc."
452,Onderhoud en reparatie van motorvoertuigen,Maintenance and repair of motor vehicles
4520,Onderhoud en reparatie van motorvoertuigen,Maintenance and repair of motor vehicles
45201,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (= 3,5 ton)",General maintenance and repair of cars and other light motor vehicles (= 3.5 ton)
4520101,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (= 3,5 ton)",General maintenance and repair of cars and light vehicles (= 3.5 ton)
45202,"Algemeen onderhoud en reparatie van overige motorvoertuigen (> 3,5 ton)",General maintenance and repair of other motor vehicles (= 3.5 ton)
45203,Reparatie en montage van specifieke auto-onderdelen,Repair of specific parts of motor vehicles
4520301,Reparatie van auto's : reparatie van de mechanische onderdelen en van de elektrische installatie,"Repair of motor vehicles: repair of mechanical parts, electrical repairs"
4520302,Revisie van automotoren,Overhaul of motor vehicle engines
45204,Carrosserieherstelling,Repairs to coachwork
45205,Bandenservicebedrijven,Specialised services related to tyres
45206,Wassen en poetsen van motorvoertuigen,Washing of motor vehicles
45209,"Onderhoud en reparatie van motorvoertuigen, n.e.g.",Maintenance and repair of motor vehicles n.e.c.
4520901,"Installatie van onderdelen en accessoires, inclusief de ombouw- en uitbouwwerkzaamheden","Installation of parts and accessories, including transformation work"
453,Handel in onderdelen en accessoires van motorvoertuigen,Trade of motor vehicles parts and accessories
4531,Groothandel in onderdelen en accessoires van motorvoertuigen,Wholesale trade of motor vehicle parts and accessories
45310,Handelsbemiddeling en groothandel in onderdelen en accessoires van motorvoertuigen,Commission trade and wholesale trade of motor vehicle equipment
4531001,Groothandel in onderdelen en accessoires van auto's inclusief de groothandel in tweedehands onderdelen,"Wholesale trade of accessories, spare parts and various equipment for motor vehicles, including the wholesale trade of spare parts and equipment for used cars"
4531002,Groothandel in banden voor motorvoertuigen,Wholesale trade of tyres
4532,Detailhandel in onderdelen en accessoires van motorvoertuigen,Retail trade of motor vehicle parts and accessories
45320,Detailhandel in onderdelen en accessoires van motorvoertuigen,Retail trade of motor vehicle parts and accessories
4532001,Kleinhandel in onderdelen en accessoires van auto's inclusief de kleinhandel in tweedehands onderdelen,"Retail trade of accessories, spare parts and various equipment for motor vehicles, including the retail trade of spare parts and equipment for used cars"
4532002,Kleinhandel in banden voor motorvoertuigen,Retail trade of tyres
4532003,Kleinhandel gespecialiseerd in de verkoop van accessoires van auto's per postorder,Retail trade specialised in the trade of motor vehicle parts by catalogue
454,Handel in en onderhoud en reparatie van motorfietsen en delen en toebehoren van motorfietsen,"Sale, maintenance and repair of motorcycles and related parts and accessories"
4540,Handel in en onderhoud en reparatie van motorfietsen en delen en toebehoren van motorfietsen,"Sale, maintenance and repair of motorcycles and related parts and accessories"
45401,Handelsbemiddeling en groothandel in motorfietsen en delen en toebehoren van motorfietsen,"Commission trade and wholesale trade of motorcycles, including spares and accessories"
4540101,"Handelsbemiddeling in nieuwe of gebruikte motorrijwielen, inclusief bromfietsen","Commission trade of motorcycles, new or used, including mopeds"
4540102,Groothandel in nieuwe of gebruikte motorrijwielen,"Wholesale trade of motorcycles, new and used"
4540103,Groothandel in nieuwe of gebruikte bromfietsen,"Wholesale trade of mopeds, new and used"
4540104,Groothandel in onderdelen en accessoires van motorrijwielen,Wholesale trade of spares and accessories for motorcycles
45402,Detailhandel in en onderhoud en reparatie van motorfietsen en delen en toebehoren van motorfietsen,"Maintenance, repair and retail trade of motorcycles, including spares and accessories"
4540201,Kleinhandel in nieuwe of gebruikte motorrijwielen,"Retail trade of motorcycles, new and used"
4540202,Kleinhandel in nieuwe of gebruikte bromfietsen,"Retail trade of mopeds, new and used"
4540203,Kleinhandel in onderdelen en accessoires van motorrijwielen,Retail trade of spares and accessories for motorcycles
4540204,Onderhoud en reparatie van motorrijwielen,Maintenance and repair of motorcycles
4540205,Onderhoud en reparatie van bromfietsen,Maintenance and repair of mopeds
46,"Groothandel en handelsbemiddeling, met uitzondering van de handel in motorvoertuigen en motorfietsen",Wholesale trade excluding repair of motor vehicles and motorcycles
461,Handelsbemiddeling,Wholesale on a fee or contract basis
4611,"Handelsbemiddeling in landbouwproducten, levende dieren en textielgrondstoffen en halffabrikaten","Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
46110,"Handelsbemiddeling in landbouwproducten, levende dieren en textielgrondstoffen en halffabrikaten","Commission trade of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
4611001,"Handelsbemiddeling in landbouwproducten, levende dieren, textielgrondstoffen en aanverwante halffabrikaten","Commission trade of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
4612,"Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten","Agents involved in the sale of fuels, ores, metals and industrial chemicals"
46120,"Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten","Commission trade of fuels, metals, minerals and industrial chemicals"
4612001,"Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten","Commission trade of fuels, minerals, metals and industrial chemicals"
4612002,"Handelsbemiddeling in meststoffen, verdelgingsmiddelen en chemische producten voor de landbouw","Commission trade of fertilisers, pesticides and chemical products for agricultural use"
4612003,Handelsbemiddeling in kruit en springstoffen,Commission trade of explosives
4612004,Handelsbemiddeling in pyrotechnische artikelen,Commission trade of pyrotechnics
4613,Handelsbemiddeling in hout en bouwmaterialen,Agents involved in the sale of timber and building materials
46130,Handelsbemiddeling in hout en bouwmaterialen,Commission trade of timber and building materials
4613001,Handelsbemiddeling in hout en bouwmaterialen,Commission trade of timber and building materials
4613002,Handelsbemiddeling in verf en vernis,Commission trade of paints and varnishes
4613003,Handelsbemiddeling in sanitaire artikelen,Commission trade of sanitary articles
4614,"Handelsbemiddeling in machines, apparaten en werktuigen voor de industrie en in schepen en luchtvaartuigen","Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
46140,"Handelsbemiddeling in machines, apparaten en werktuigen voor de industrie en in schepen en luchtvaartuigen","Commission trade of machinery, industrial equipment, ships and aircraft"
4614001,Handelsbemiddeling in machines en uitrusting voor nijverheid en in schepen en luchtvaartuigen,"Commission trade of machinery, industrial equipment, ships and aircraft"
4614002,Handelsbemiddeling in machines voor de bouwnijverheid,Commission trade of construction machinery
4614003,Handelsbemiddeling in naai- en breimachines,Commission trade of sewing machines and knitting machines
4614004,"Handelsbemiddeling in machines, tractoren, werktuigen en toebehoren voor de landbouw","Commission trade of machinery, farm tractors and equipment"
4614005,"Handelsbemiddeling in elektrische en elektronisch materiaal, inclusief installatiemateriaal voor industrieel gebruik","Commission trade of electrical and electronic equipment, including installation material for industrial use"
4614006,Handelsbemiddeling in machines en uitrusting voor de dienstverlenende sector,Commission trade of machinery and equipment used in the service sector
4614007,Handelsbemiddeling in munitie,Commission trade of ammunition
4615,"Handelsbemiddeling in meubelen, huishoudelijke artikelen en ijzerwaren","Agents involved in the sale of furniture, household goods, hardware and ironmongery"
46150,"Handelsbemiddeling in meubelen, huishoudelijke artikelen en ijzerwaren","Commission trade of furniture, household goods, hardware and ironmongery"
4615001,"Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren","Commission trade of furniture, household goods, hardware and ironmongery"
4615002,"Handelsbemiddeling in audio- en videoapparatuur, fotografische en cinematografische apparaten en optische artikelen","Commission trade of audio-video appliances, photographic and cinematographic equipment and optical goods"
4615003,"Handelsbemiddeling in loodgietersmateriaal, elektrisch installatiemateriaal voor huishoudelijk gebruik en verwarmingsinstallaties","Commission trade of plumbing supplies, electrical installation equipment for domestic use and heating systems"
4615004,"Handelsbemiddeling in porselein, glaswerk, behang en vloerbekleding","Commission trade of porcelain, glassware, wallpaper and floor coverings"
4615005,"Handelsbemiddeling in parfums, cosmetica, toiletartikelen en reinigingsmiddelen","Commission trade of perfumes, cosmetics, toiletries and cleaning products"
4615006,Handelsbemiddeling in farmaceutische producten en orthopedische artikelen,Commission trade of pharmaceuticals and orthopaedic products
4615007,"Handelsbemiddeling in papierwaren, kranten, boeken en tijdschriften","Commission trade of stationery, newspapers, books and magazines"
4615008,"Handelsbemiddeling in horloges, artikelen van edele metalen en sieraden","Commission trade of watches, articles of precious metals and jewels"
4615009,Handelsbemiddeling in sport- en kampeerartikelen spellen en speelgoed,"Commission trade of sporting and camping equipment, toys and games"
4616,"Handelsbemiddeling in textiel, kleding, bont, schoeisel en lederwaren","Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
46160,"Handelsbemiddeling in textiel, kleding, bont, schoeisel en lederwaren","Commission trade of textiles, clothing, fur, footwear and leather goods"
4616001,"Handelsbemiddeling in textiel, kleding, schoeisel en artikelen van leer","Commission trade of textiles, clothing, footwear and leather goods"
4616002,Handelsbemiddeling in bont,Commission trade of furs
4617,Handelsbemiddeling in voedings- en genotmiddelen,"Agents involved in the sale of food, beverages and tobacco"
46170,Handelsbemiddeling in voedings- en genotmiddelen,"Commission trade of food, beverages and tobacco"
4617001,Handelsbemiddeling in voedings- en genotmiddelen,Commission trade of food and tobacco
4618,Handelsbemiddeling gespecialiseerd in andere goederen,Agents specialised in the sale of other particular products
46180,Handelsbemiddeling gespecialiseerd in andere goederen,Commission trade specialised in the trade of other particular products
4618001,"Handelsbemiddeling gespecialiseerd in overige goederen, n.e.g.",Other specialised commission trade n.e.s.
4619,"Handelsbemiddeling in goederen, algemeen assortiment",Agents involved in the sale of a variety of goods
46190,"Handelsbemiddeling in goederen, algemeen assortiment",Commission trade of miscellaneous products
4619001,"Handelsbemiddeling in goederen, algemeen assortiment",Commission trade of miscellaneous products
462,Groothandel in landbouwproducten en levende dieren,Wholesale of agricultural raw materials and live animals
4621,"Groothandel in granen, ruwe tabak, zaden en veevoeders","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
46211,Groothandel in granen en zaden,Wholesale trade of grains and seeds
4621101,Groothandel in granen en zaden,Wholesale trade of grains and seeds
4621102,Groothandel in pootaardappelen,Wholesale trade of seed potatoes
46212,Groothandel in veevoeders,Wholesale trade of livestock feed
46213,Groothandel in ruwe plantaardige en dierlijke oliën en vetten,Wholesale trade of crude oils and vegetable or animal fats
4621301,Groothandel in niet-eetbare oliën en vetten,Wholesale trade of oils and inedible fats
46214,Groothandel in andere akkerbouwproducten,Wholesale trade of other agricultural products
46215,Groothandel in ruwe tabak,Wholesale trade of unmanufactured tobacco
46216,"Groothandel in akkerbouwproducten en veevoeders, algemeen assortiment","Wholesale trade of livestock feed and agricultural products, general assortment"
4622,Groothandel in bloemen en planten,Wholesale of flowers and plants
46220,Groothandel in bloemen en planten,Wholesale trade of flowers and plants
4622001,Groothandel in tulpebollen,Wholesale trade of tulip bulbs
4623,Groothandel in levende dieren,Wholesale of live animals
46231,Groothandel in levend vee,Wholesale trade of cattle
46232,"Groothandel in levende dieren, m.u.v. levend vee",Wholesale trade of live animals except cattle
4624,"Groothandel in huiden, vellen en leer","Wholesale of hides, skins and leather"
46240,"Groothandel in huiden, vellen en leer","Wholesale trade of hides, skins and leather"
463,"Groothandel in voedingsmiddelen, dranken en genotmiddelen","Wholesale of food, beverages and tobacco"
4631,Groothandel in groenten en fruit,Wholesale of fruit and vegetables
46311,Groothandel in consumptieaardappelen,Wholesale trade of consumption potatoes
46319,"Groothandel in groenten en fruit, m.u.v. consumptieaardappelen","Wholesale trade of fruits and vegetables, except consumption potatoes"
4631901,"Groothandel in verse en niet-verwerkte groenten en fruit, inclusief aardappelen","Wholesale trade of fresh and unprocessed fruits and vegetables, including potatoes"
4632,Groothandel in vlees en vleesproducten,Wholesale of meat and meat products
46321,"Groothandel in vlees en vleesproducten, uitgezonderd vlees van wild en van gevogelte",Wholesale trade of meat and meat products except poultry and game meat
4632101,"Groothandel in vlees en vleeswaren, exclusief vlees van gevogelte en wild",Wholesale trade of meat and meat products except poultry and game meat
4632102,Groothandel in vlees van konijnen,Wholesale trade of rabbit meat
46322,Groothandel in vlees van wild en van gevogelte,Wholesale trade of poultry and game meat
4633,"Groothandel in zuivelproducten, eieren en spijsoliën en -vetten","Wholesale of dairy products, eggs and edible oils and fats"
46331,Groothandel in zuivelproducten en eieren,Wholesale trade of dairy products and eggs
4633101,"Groothandel in zuivelproducten (melk, boter, kaas, enz.)","Wholesale trade of dairy products (milk, butter, cheese, etc.)"
4633102,Groothandel in eieren en eierproducten,Wholesale trade of eggs and egg products
46332,Groothandel in spijsoliën en -vetten,Wholesale trade of edible oils and fats
4633201,Groothandel in spijsoliën en -vetten van dierlijke en plantaardige oorsprong,Wholesale trade of edible oils and fats of animal and vegetable origin
4634,Groothandel in dranken,Wholesale of beverages
46341,Groothandel in wijnen en geestrijke dranken,Wholesale trade of wine and spirits
4634101,Bottelen voor eigen rekening van in bulk aangekochte wijn,Bottling for own account of wine purchased in bulk
46349,"Groothandel in dranken, algemeen assortiment","Wholesale trade of beverages, general assortment"
4634901,Groothandel in alcoholische en andere dranken,"Wholesale trade of all drinks, alcoholic or not"
4635,Groothandel in tabaksproducten,Wholesale of tobacco products
46350,Groothandel in tabaksproducten,Wholesale trade of tobacco products
4636,"Groothandel in suiker, chocolade en suikerwerk",Wholesale of sugar and chocolate and sugar confectionery
46360,"Groothandel in suiker, chocolade en suikerwerk","Wholesale trade of sugar, chocolate and confectionery"
4637,"Groothandel in koffie, thee, cacao en specerijen","Wholesale of coffee, tea, cocoa and spices"
46370,"Groothandel in koffie, thee, cacao en specerijen","Wholesale trade of coffee, tea, cocoa and spices"
4638,"Groothandel in andere voedingsmiddelen, met inbegrip van vis en schaal- en weekdieren","Wholesale of other food, including fish, crustaceans and molluscs"
46381,Groothandel in vis en schaal- en weekdieren,"Wholesale trade of fish, crustaceans and molluscs"
46382,Groothandel in aardappelproducten,Wholesale trade of potato products
46383,Groothandel in voedsel voor huisdieren,Wholesale trade of pet food
4638301,Groothandel in voeder voor huisdieren,Wholesale trade of pet food
46389,"Groothandel in andere voedingsmiddelen, n.e.g.",Wholesale trade of other food products n.e.c.
4638901,Groothandel in meel en producten voor bakkerijen,Wholesale trade of flour and bakery products
4638902,Groothandel in verse kant- en klaarmaaltijden,"Wholesale trade of meals, fresh and takeaway"
4638903,Groothandel in conserven,Wholesale trade of canned food
4638904,Groothandel in confituur en honing,Wholesale trade of jams and honey
4638905,Groothandel in deegwaren en rijst,Wholesale trade of pasta and rice
4638906,Groothandel in desserten,Wholesale trade of desserts
4638907,"Overige gespecialiseerde groothandel in voedingswaren, n.e.g.",Other specialised wholesale trade of food n.e.s.
4639,Niet-gespecialiseerde groothandel in voedings- en genotmiddelen,"Non-specialised wholesale of food, beverages and tobacco"
46391,Niet-gespecialiseerde groothandel in diepgevroren voedingsmiddelen,Non-specialised wholesale trade of frozen food
4639101,"Groothandel in diepgevroren voedingsmiddelen: vlees en vleeswaren, gevogelte en wild, vis en schaal- en schelpdieren, groenten en fruit, kant- en klaarmaaltijden, desserten, roomijs, enz.","Wholesale trade of a range of frozen food products: meat, poultry and game, fish and seafood, fruit and vegetables, ready meals, desserts, ice-cream, etc."
46392,"Niet-gespecialiseerde groothandel in niet-diepgevroren voedingsmiddelen, dranken en genotmiddelen","Non-specialised wholesale trade of non-frozen food, beverages and tobacco"
4639201,Overige niet-gespecialiseerde groothandel in voedingsen genotmiddelen,Other non-specialised wholesale trade of food products
464,Groothandel in andere consumentenartikelen,Wholesale of other household goods
4641,Groothandel in textiel,Wholesale of textiles
46411,"Groothandel in weefsels, stoffen en fournituren","Wholesale trade of textiles, fabrics and haberdashery"
4641101,Groothandel in garen,Wholesale trade of thread
4641102,Groothandel in weefsels en stoffen,Wholesale trade of fabrics and cloth
4641103,"Groothandel in fournituren : naaigaren, band, lint, enz.","Wholesale trade of haberdashery: needles, thread, ribbons, etc."
46412,Groothandel in huishoudtextiel en beddengoed,Wholesale trade of linens and bedding
4641201,Groothandel in huishoudlinnen en beddegoed,Wholesale trade of linens and bedding
46419,Groothandel in overig textiel,Wholesale trade of other textiles
4641901,"Groothandel in dekzeilen, hoezen, parasols, zonneschermen enz.","Wholesale trade of tarps, covers, parasols, awnings, etc."
4642,Groothandel in kleding en schoeisel,Wholesale of clothing and footwear
46421,Groothandel in werkkleding,Wholesale trade of work wear
46422,Groothandel in onderkleding,Wholesale trade of underwear
46423,"Groothandel in kleding, met uitzondering van werk- en onderkleding",Wholesale trade of clothing other than work clothes and underwear
4642301,"Groothandel in kleding, inclusief sportkleding","Wholesale trade of clothing, including sportswear"
4642302,Groothandel in bontwaren,Wholesale trade of fur
46424,Groothandel in kledingaccessoires,Wholesale trade of clothing accessories
46425,Groothandel in schoeisel,Wholesale trade of shoes
4642501,Groothandel in schoeisel,Wholesale trade of shoes
4643,Groothandel in elektrische huishoudelijke apparaten,Wholesale of electrical household appliances
46431,Groothandel in elektrische huishoudelijke apparaten en audio- en videoapparatuur,Wholesale trade of household appliances and audio-video
4643101,Groothandel in elektrische huishoudelijke apparaten,Wholesale trade of electrical household appliances
4643102,Groothandel in audio- en videoapparaten,"Wholesale trade of audio and video equipment: radio, television, channels, VCRs, etc."
4643103,Groothandel in elektrisch installatiemateriaal voor huishoudelijk gebruik,Wholesale trade of electrical equipment for residential installation
46432,Groothandel in opgenomen beeld- en geluidsdragers,Wholesale trade of recorded image and sound carriers
4643201,"Groothandel in grammofoonplaten, CD's, al dan bespeelde audio- en videocassettes, enz.","Wholesale trade of records, compact discs, audio cassettes and recorded videotapes"
46433,Groothandel in foto- en filmapparatuur en in andere optische artikelen,Wholesale trade of photographic and cinematographic equipment and other optical items
4644,"Groothandel in porselein, glaswerk en reinigingsmiddelen",Wholesale of china and glassware and cleaning materials
46441,Groothandel in porselein en glaswerk,Wholesale trade of china and glassware
4644101,Groothandel in vaat- en glaswerk,Wholesale trade of household china and glassware
46442,Groothandel in reinigingsmiddelen,Wholesale trade of cleaning products
4644201,"Groothandel in onderhouds- en reinigingsproducten, inclusief waspoeders","Wholesale trade of maintenance and cleaning products, including laundry powders"
4645,Groothandel in parfumerieën en cosmetica,Wholesale of perfume and cosmetics
46450,Groothandel in parfumerieën en cosmetica,Wholesale trade of perfume and cosmetics
4645001,Groothandel in toiletartikelen,Wholesale trade of hygiene products
4646,Groothandel in farmaceutische producten,Wholesale of pharmaceutical goods
46460,Groothandel in farmaceutische producten,Wholesale trade of pharmaceutical goods
4646001,Groothandel in medisch-chirurgisch materieel en tandheelkundige instrumenten en benodigdheden,"Wholesale trade of medical, surgical and dental supplies"
4646002,Groothandel in orthopedische artikelen,Wholesale trade of orthopaedic products
4647,"Groothandel in huismeubilair, tapijten en verlichtingsapparatuur","Wholesale of household furniture, carpets and lighting equipment"
46471,Groothandel in huismeubilair,Wholesale trade of household furniture
46472,Groothandel in tapijten,Wholesale trade of carpets
